0	0	-100.00000
0	1	-100.00000
0	2	-100.00000
0	3	-100.00000
0	4	-100.00000
0	5	-100.00000
1	0	-100.00000
1	1	20.00000
1	2	140.00000
1	3	140.00000
1	4	20.00000
1	5	-100.00000
2	0	-100.00000
2	1	140.00000
2	2	500.00000
2	3	500.00000
2	4	140.00000
2	5	-100.00000
3	0	-100.00000
3	1	140.00000
3	2	500.00000
3	3	500.00000
3	4	140.00000
3	5	-100.00000
4	0	-100.00000
4	1	20.00000
4	2	140.00000
4	3	140.00000
4	4	20.00000
4	5	-100.00000
5	0	-100.00000
5	1	-100.00000
5	2	-100.00000
5	3	-100.00000
5	4	-100.00000
5	5	-100.00000
